2026-07-08 10:01:01 | INFO | domnak | Fetched all suppliers
2026-07-08 10:01:01 | INFO | domnak | GET /api/v1/suppliers/ -> 200 (129ms)
2026-07-08 10:01:02 | INFO | domnak | Fetched all suppliers
2026-07-08 10:01:02 | INFO | domnak | GET /api/v1/suppliers/ -> 200 (129ms)
2026-07-08 10:01:02 | INFO | domnak | Fetched suppliers for material: Cement
2026-07-08 10:01:02 | INFO | domnak | GET /api/v1/suppliers/Cement -> 200 (141ms)
2026-07-08 10:01:02 | INFO | domnak | POST /api/v1/suppliers/d26d5d46-1a05-4dd8-bf36-1669550aaaea/click -> 401 (131ms)
2026-07-08 10:01:02 | INFO | domnak | POST /api/v1/analysis/null -> 401 (127ms)
2026-07-08 10:01:02 | INFO | domnak | GET /api/v1/analysis/null -> 401 (127ms)
2026-07-08 10:01:02 | INFO | domnak | DELETE /api/v1/line-items/null -> 401 (128ms)
2026-07-08 10:01:02 | INFO | domnak | DELETE /api/v1/quotes/null -> 401 (126ms)
2026-07-08 10:02:16 | INFO | domnak | GET / -> 200 (3ms)
2026-07-08 10:02:16 | INFO | domnak | GET /health -> 200 (0ms)
2026-07-08 10:02:17 | INFO | domnak | GET /health/ready -> 200 (490ms)
2026-07-08 10:02:17 | INFO | domnak | POST /api/v1/auth/signup -> 400 (347ms)
2026-07-08 10:02:17 | INFO | domnak | POST /api/v1/auth/login -> 200 (548ms)
2026-07-08 10:02:18 | INFO | domnak | GET /api/v1/auth/me -> 200 (157ms)
2026-07-08 10:02:18 | INFO | domnak | POST /api/v1/quotes/ -> 200 (288ms)
2026-07-08 10:02:18 | INFO | domnak | GET /api/v1/quotes/ -> 405 (0ms)
